Vitesse,Pluie,Accident
"[173.4664681461442, 165.46698100179978, 165.23675488082884, 164.69230831758674, 149.79675334193078]","[0, 0, 0, 0, 0]",1
"[151.64330143609592, 171.54995716978112, 187.8677496563612, 176.5769261382916, 187.22035283964908]","[0, 0, 0, 0, 0]",0
"[77.22726038997374, 92.59382098288906, 103.53260221762443, 95.5190646425917, 94.90269810514187]","[0, 0, 0, 0, 0]",0
"[114.10720104232581, 113.48256058791563, 111.1211398783911, 93.38086326223238, 95.1000502853693]","[0, 0, 0, 0, 0]",0
"[183.74936110982355, 181.47664706929217, 198.13055022630223, 182.64562721748277, 165.61315605450204]","[0, 0, 0, 0, 0]",0
"[169.36943252677338, 182.78951924659208, 178.997853292872, 164.1292197147075, 157.09423264294824]","[1, 1, 1, 1, 1]",1
"[11.726256977976623, 58.795471190786984, 80.15095448596945, 94.13160890117598, 109.38948701948644]","[1, 1, 1, 1, 1]",1
"[131.30247915117403, 133.83516043577148, 131.15891476905756, 144.34612973029675, 155.92373876128667]","[1, 1, 1, 1, 1]",1
"[79.01914618511373, 94.51570946891295, 108.03936316333832, 126.5451182952041, 130.89617945132562]","[0, 0, 0, 0, 0]",1
"[51.649178653407766, 77.09047759185647, 92.38892856441792, 93.41514714693427, 111.18034206299166]","[0, 0, 0, 0, 0]",0
"[199.96577956569664, 199.6629686175772, 188.0219822552009, 196.07197418963548, 192.4652358055997]","[0, 0, 0, 0, 0]",0
"[17.44233223708156, 71.75887422815542, 91.46011052220055, 97.91538870733449, 102.08260042248152]","[1, 1, 1, 1, 1]",1
"[93.99411031312212, 112.08970657793697, 119.20736721666678, 130.15314271698517, 147.95479761466925]","[1, 1, 1, 1, 1]",0
"[112.04810115888186, 105.61734154449236, 94.03540697029852, 102.87378207226556, 114.68675237843442]","[0, 0, 0, 0, 0]",0
"[89.5384379115003, 102.71727706621495, 105.55548561404308, 119.44699326743819, 110.98110255907817]","[0, 0, 0, 0, 0]",0
"[58.92271062300265, 85.31145232438676, 102.08690512652451, 97.32075285193066, 114.55136525504204]","[0, 0, 0, 0, 0]",0
"[196.83696898758046, 199.4017326959721, 187.26925011339512, 186.2475088686087, 185.13349510896066]","[0, 0, 0, 0, 0]",1
"[110.12346473271492, 126.13171270447273, 145.71182954505116, 127.54961525005548, 134.08128978661807]","[1, 1, 1, 1, 1]",0
"[51.19791141449066, 72.08481322708272, 91.0965503405669, 101.6441768881576, 96.75162112560827]","[0, 0, 0, 0, 0]",0
"[7.00070251346423, 44.37483220285777, 88.64050456927423, 100.43383854351002, 119.24147840094228]","[1, 1, 1, 1, 1]",1
"[25.503521545241846, 50.02772682509918, 89.03583045462115, 103.07734338186877, 102.33496396018555]","[0, 0, 0, 0, 0]",0
"[180.48844186952437, 188.47580603199012, 181.6157056508531, 185.98123026828222, 187.59637913878944]","[0, 0, 0, 0, 0]",0
"[52.70224775388541, 86.2484320784443, 103.67489805196911, 115.45036015291541, 119.13718439188327]","[1, 1, 1, 1, 1]",0
"[109.99074884363276, 112.16785251735853, 104.95028003568063, 93.49947223375302, 101.91972013611934]","[1, 1, 1, 1, 1]",1
"[167.3456861787329, 184.99989623763236, 183.4108416620571, 193.3556955523223, 192.73208797769206]","[0, 0, 0, 0, 0]",1
"[191.1025701387529, 177.67388564200175, 165.06120879049635, 176.69731460046725, 163.0863483892841]","[1, 1, 1, 1, 1]",1
"[183.39669916271868, 168.45512049823824, 160.06999560521612, 172.61999952271438, 179.2901542784301]","[1, 1, 1, 1, 1]",1
"[142.43513750889528, 146.95173119377523, 127.31106275881147, 134.28568414766238, 151.0283290987675]","[1, 1, 1, 1, 1]",1
"[112.54326884031059, 132.47292668567576, 137.0396485324263, 126.11430041509783, 131.24769455867892]","[0, 0, 0, 0, 0]",1
"[184.25377035974725, 178.7757029010172, 174.61953049761058, 187.19192975861037, 170.51847045464604]","[1, 1, 1, 1, 1]",1
"[174.05731778387837, 169.28010703162093, 155.64523045999238, 151.2609195479874, 141.6661555447532]","[1, 1, 1, 1, 1]",1
"[15.166282757113535, 36.90924306704417, 80.22396834403132, 92.5486187713723, 104.85138605202259]","[1, 1, 1, 1, 1]",1
"[174.49721003584486, 175.99060833945873, 195.1377982052276, 184.88326787745578, 195.20847622426825]","[0, 0, 0, 0, 0]",0
"[28.476948310096574, 81.54793506002589, 97.35534476667692, 101.50042084308953, 111.79488147575545]","[0, 0, 0, 0, 0]",0
"[155.86435292126254, 149.49042156726586, 153.95600208902897, 143.59999148707368, 125.06553491049945]","[1, 1, 1, 1, 1]",1
"[133.97784133523746, 118.24608878385179, 131.65691901780986, 116.51120692740916, 121.29142548225666]","[1, 1, 1, 1, 1]",1
"[110.64143195219494, 98.39807941389682, 91.37894398685572, 109.75016272221484, 97.98020649863342]","[1, 1, 1, 1, 1]",1
"[43.194243355512874, 78.3803119648921, 91.89143725651657, 96.90164684003675, 103.38669966452926]","[1, 1, 1, 1, 1]",1
"[8.886397976011606, 32.327591155110426, 57.168868530974784, 84.43560133558205, 104.05564278439624]","[0, 0, 0, 0, 0]",0
"[83.14621585871451, 99.25458150161282, 95.66481105394546, 113.37073231289278, 110.94533154430025]","[1, 1, 1, 1, 1]",0
"[52.44983104556318, 73.85954926221643, 91.76835084336082, 94.6060139650379, 96.58154673845584]","[1, 1, 1, 1, 1]",1
"[164.05592979641014, 161.67410640992267, 143.70153500474422, 158.2227908154063, 149.46084327155788]","[1, 1, 1, 1, 1]",1
"[188.07290772805655, 177.09847117851754, 196.2781212911188, 184.48594878732519, 187.7988899470809]","[0, 0, 0, 0, 0]",0
"[10.3196925188332, 58.19570850742321, 83.51197737194093, 100.71468530464463, 115.84824208794669]","[1, 1, 1, 1, 1]",1
"[122.80945926277036, 120.38505323094407, 109.93439049009844, 108.62247866701712, 96.85028871257224]","[1, 1, 1, 1, 1]",0
"[103.45598869018843, 112.67460491377655, 117.03284095442781, 129.8988328005952, 145.8488044734339]","[0, 0, 0, 0, 0]",1
"[128.51776868835054, 144.43069706551134, 152.15321966946635, 132.829742964272, 133.7837988110812]","[1, 1, 1, 1, 1]",1
"[132.4022252967774, 149.1233546945178, 154.7874243102235, 146.28423519901935, 144.053190950312]","[0, 0, 0, 0, 0]",0
"[160.47813787645194, 143.73303813487817, 159.48252355397787, 146.2618996510207, 142.19166792925037]","[0, 0, 0, 0, 0]",0
"[175.08391656683355, 166.77633534339338, 172.2638136482435, 175.64762510714561, 191.33019230740055]","[1, 1, 1, 1, 1]",1
"[60.244845867337496, 82.29066477802415, 99.83073696839256, 107.97233117477525, 105.53939553904678]","[0, 0, 0, 0, 0]",0
"[83.04560960223017, 94.67956570305248, 113.71478905183714, 104.33241707335632, 110.11164731957439]","[0, 0, 0, 0, 0]",0
"[106.3235697049949, 96.65972171931281, 98.31719360241406, 109.77104431762527, 121.07373518927163]","[0, 0, 0, 0, 0]",0
"[40.622374727043464, 77.98404844062212, 90.38723583868615, 104.46471207479225, 99.53437615633513]","[1, 1, 1, 1, 1]",0
"[49.872155411691054, 80.59142213945293, 91.53996890458615, 90.39578037923691, 101.35976249214693]","[1, 1, 1, 1, 1]",0
"[22.98372085064495, 72.6869587325317, 90.85799626419227, 109.86870242420562, 92.28159429944304]","[1, 1, 1, 1, 1]",1
"[26.57476102496039, 51.96641503219348, 84.79779131407918, 92.92829047717656, 111.1073804880468]","[0, 0, 0, 0, 0]",0
"[63.964125269250324, 87.90506706272741, 90.58429971255796, 99.8774084953673, 92.28417802525144]","[1, 1, 1, 1, 1]",0
"[108.65341295740134, 119.74930590903101, 126.90106204296029, 135.84483159645606, 135.60778264979376]","[0, 0, 0, 0, 0]",0
"[143.09005385167632, 131.76891960152915, 119.69524286769384, 102.82823857246271, 94.17479175573114]","[1, 1, 1, 1, 1]",1
"[92.81464420562793, 94.10279777419754, 97.10790311570507, 98.42739319304964, 99.89547009187451]","[0, 0, 0, 0, 0]",0
"[36.16416977210595, 70.30770567579685, 90.08449528856777, 103.02578886099027, 109.48345514425614]","[0, 0, 0, 0, 0]",0
"[10.295023994662046, 31.3969867141396, 74.7365397383603, 90.32173271004578, 90.2125641656163]","[1, 1, 1, 1, 1]",0
"[35.70814515094523, 70.88283610061832, 90.56161492426494, 96.43263608928004, 106.15598042009098]","[1, 1, 1, 1, 1]",0
"[143.3468995917287, 130.47024742996223, 117.76994389583217, 132.2578518782236, 126.46215712601204]","[0, 0, 0, 0, 0]",1
"[96.98551639182892, 101.49348425007699, 114.64381334033354, 110.82113594593733, 105.70299139204842]","[1, 1, 1, 1, 1]",0
"[0.4235517599853633, 70.47124047827803, 90.02000126628418, 107.27448119818303, 94.82810158455119]","[0, 0, 0, 0, 0]",0
"[5.519631357496513, 89.74710490783126, 90.36399612302932, 108.50847938113029, 118.2606069591594]","[1, 1, 1, 1, 1]",0
"[197.540355984598, 194.4963408159484, 185.96285719280112, 199.77356200851756, 194.60861685914253]","[0, 0, 0, 0, 0]",0
"[54.46671487895585, 89.0425875687547, 104.7659035089447, 103.28072862238479, 96.32935326847291]","[1, 1, 1, 1, 1]",0
"[121.24725998789398, 127.83223346985682, 131.1577354110177, 129.53238414608728, 111.59295592899723]","[1, 1, 1, 1, 1]",1
"[6.467128581053516, 53.36921755765401, 74.76011107279386, 92.3981706739169, 92.43874036092818]","[1, 1, 1, 1, 1]",0
"[76.7721040987132, 90.68958907723426, 102.97508880295365, 118.82972323768452, 136.6163610899007]","[0, 0, 0, 0, 0]",1
"[75.71878741619773, 90.9198805595456, 90.57216100828074, 91.59220355100841, 92.14282272771851]","[0, 0, 0, 0, 0]",0
"[34.49181460207144, 59.461788303750964, 80.47076662746923, 90.74553427224738, 98.41665478445368]","[1, 1, 1, 1, 1]",0
"[121.23968300429895, 113.7217818329168, 126.84388615378043, 117.82081118540785, 130.75214748237383]","[0, 0, 0, 0, 0]",0
"[26.40234671302466, 72.76620370003948, 91.72943087348817, 100.41794883912873, 95.75327394295022]","[0, 0, 0, 0, 0]",0
"[106.39793480956668, 117.71425615399541, 109.47838605770445, 109.65104641841151, 126.29060932479945]","[0, 0, 0, 0, 0]",0
"[118.42539714584098, 100.98713749762359, 98.3399847408444, 111.78478794836546, 95.89023615749485]","[0, 0, 0, 0, 0]",0
"[88.3397652813541, 107.55511509179767, 105.78950092079717, 120.66364085137816, 107.15124452319151]","[0, 0, 0, 0, 0]",0
"[89.51796245649713, 108.29549966865493, 107.01752532383497, 106.92856293214679, 90.7438999854379]","[0, 0, 0, 0, 0]",0
"[166.5561035062298, 184.75790788680848, 182.89060361584077, 186.21259474276297, 173.6070156128577]","[1, 1, 1, 1, 1]",1
"[140.34849625367946, 156.6573554334209, 146.26385837796678, 143.94088184242202, 145.76571574992136]","[1, 1, 1, 1, 1]",1
"[173.1240561639229, 182.65418142807192, 186.15891360923825, 173.18834033807795, 169.72755486206904]","[0, 0, 0, 0, 0]",1
"[166.94758460004525, 165.22312591687995, 167.37646991922296, 158.02025011380096, 166.5832631408683]","[0, 0, 0, 0, 0]",1
"[103.76422476848927, 120.52426427181138, 105.51755941889351, 118.6674490227388, 118.88559480740581]","[1, 1, 1, 1, 1]",0
"[21.894782341571005, 42.85840356183471, 73.35305287584654, 93.07789588383417, 111.63135662135144]","[1, 1, 1, 1, 1]",0
"[12.336053946966995, 77.78441789229281, 94.51680997050735, 111.97086915957505, 123.29954802408753]","[1, 1, 1, 1, 1]",1
"[135.1075734535058, 137.60282062742337, 122.22958420254358, 131.2447519770098, 119.60810203512924]","[0, 0, 0, 0, 0]",1
"[8.634091382784437, 54.98958205648998, 77.50776329531365, 92.87623330387537, 107.07513616639037]","[1, 1, 1, 1, 1]",1
"[128.75070573513509, 126.17550059799909, 135.59859587343223, 152.1592886110531, 143.6799778489527]","[1, 1, 1, 1, 1]",1
"[44.834495234313025, 79.63084417138184, 97.52888308794056, 96.70961582918228, 98.27543933250422]","[1, 1, 1, 1, 1]",0
"[60.969172368991245, 83.97362522735057, 90.18525183098612, 98.11857691954482, 113.86005772066505]","[0, 0, 0, 0, 0]",0
"[68.63948635078205, 88.70848678888453, 104.45736101591532, 95.38946875416995, 111.02157779105738]","[1, 1, 1, 1, 1]",1
"[42.862934595042624, 84.09814810427372, 102.38329506856647, 98.52728982597338, 106.16779340499306]","[0, 0, 0, 0, 0]",0
"[159.2253523836865, 154.43007801839528, 141.15587808039885, 142.06201502810063, 125.90221478576812]","[1, 1, 1, 1, 1]",1
"[103.57488318568446, 96.67382957517023, 99.67392597322846, 115.6845316606925, 109.87690615332968]","[0, 0, 0, 0, 0]",0
"[144.8323244809907, 133.31981255605257, 122.68282206796034, 132.65353658854997, 140.677489461751]","[0, 0, 0, 0, 0]",0
"[8.18124428914393, 56.461094556341614, 89.73354741238924, 107.87870433194954, 93.87395707013067]","[0, 0, 0, 0, 0]",0
"[84.84361913300924, 100.03738236656727, 96.18646031934459, 94.0754149091003, 101.94813820624825]","[0, 0, 0, 0, 0]",0
"[142.1343691532721, 127.57329657993908, 140.97410050687256, 153.73254202595786, 163.02013820972593]","[0, 0, 0, 0, 0]",1
"[8.674483050295345, 71.46962910710653, 90.8774909984876, 108.17263240084787, 102.67851151660551]","[0, 0, 0, 0, 0]",0
"[152.20707092546925, 133.16865367682007, 136.8143529391479, 133.407376343391, 126.68785965249631]","[1, 1, 1, 1, 1]",1
"[122.10873084288254, 141.2191031903119, 153.23884159621042, 171.17551043232797, 170.74192546080775]","[0, 0, 0, 0, 0]",1
"[189.80203569494174, 189.02118869574662, 189.61447831561784, 186.83843690407326, 169.45953684200686]","[1, 1, 1, 1, 1]",1
"[104.74387757140285, 121.68723927357128, 115.97457680553528, 119.05293344804971, 107.77165095833085]","[1, 1, 1, 1, 1]",0
"[22.315820644836503, 72.73354655199682, 90.61584744633497, 106.17037459158428, 90.95016483705514]","[1, 1, 1, 1, 1]",0
"[93.46606826867637, 111.8782981577634, 120.60885863815679, 100.63574678960389, 99.06316979415948]","[1, 1, 1, 1, 1]",0
"[2.752851326418071, 71.47362100871099, 91.2532369950915, 101.81514905317971, 99.38894083792174]","[1, 1, 1, 1, 1]",0
"[143.84779371232375, 144.95474528644647, 133.34994454110677, 130.37633213321382, 144.82988165325054]","[1, 1, 1, 1, 1]",1
"[132.9016198588178, 148.51146823965524, 153.73481549434297, 173.46101076768684, 154.8949174481644]","[1, 1, 1, 1, 1]",1
"[138.40462843909935, 140.2606350495272, 158.15883113301138, 146.97390751007086, 151.15676294681057]","[0, 0, 0, 0, 0]",0
"[130.828615090629, 140.00599413428833, 158.88819975972692, 163.84604278063088, 155.17093849325778]","[1, 1, 1, 1, 1]",1
"[84.25962542741468, 100.22872356974155, 119.25028920684446, 128.35178441229226, 123.65703933944539]","[0, 0, 0, 0, 0]",0
"[23.685454857317346, 49.66886333897586, 82.35832919495623, 94.2832529906964, 107.49813569694092]","[0, 0, 0, 0, 0]",0
"[76.62494882482649, 92.4145244921164, 109.13523877307932, 116.08663176136014, 113.45054321016426]","[0, 0, 0, 0, 0]",0
"[37.14126189165636, 70.12966572537105, 90.05489994565579, 93.69420980852496, 90.69382080356552]","[1, 1, 1, 1, 1]",0
"[3.15886259673388, 68.28345625023074, 89.18212820728392, 101.92459138417289, 90.11395912125529]","[0, 0, 0, 0, 0]",0
"[104.00191618352889, 113.38795573889408, 101.63823670094085, 103.56233188548242, 100.81351490294237]","[1, 1, 1, 1, 1]",1
"[119.75713682101552, 103.80409910175023, 111.25199217111162, 96.62954938308741, 115.85942623369598]","[1, 1, 1, 1, 1]",1
"[4.262296235630125, 74.33224875535193, 91.88437541968507, 95.07823400288504, 90.51699094145131]","[1, 1, 1, 1, 1]",0
"[66.20189641098395, 88.87891242859041, 90.9160641992114, 110.07005102234285, 93.06995631479637]","[0, 0, 0, 0, 0]",0
"[29.131989020954684, 58.649729342418354, 85.25810389645274, 93.05616239537541, 101.7754550694268]","[0, 0, 0, 0, 0]",0
"[100.17429867027575, 113.22991560066683, 93.5144638626065, 95.93683679691816, 108.64024029838998]","[0, 0, 0, 0, 0]",0
"[149.53914307234498, 155.93624241107437, 156.50090422302117, 167.47904950341498, 175.0426044614797]","[0, 0, 0, 0, 0]",0
"[153.20042501841888, 147.3220128906232, 128.7689738176651, 117.49266917234978, 102.20432935073909]","[1, 1, 1, 1, 1]",1
"[87.50910007952639, 103.48960752609005, 114.03760980573237, 116.32238978837388, 114.72937763362202]","[1, 1, 1, 1, 1]",0
"[122.23139757323742, 132.47294120770255, 142.6630048575924, 144.85558757080267, 160.08550657367425]","[0, 0, 0, 0, 0]",1
"[129.8457777437165, 145.1421257127309, 153.2940702230554, 150.5616806325349, 147.6621714564048]","[0, 0, 0, 0, 0]",1
"[94.8592194568698, 112.1768962011933, 110.62670612829187, 94.13454020328015, 90.83708499832416]","[1, 1, 1, 1, 1]",1
"[65.13242275740222, 86.21156816487732, 90.07007400845615, 97.68483165284087, 96.52466605868145]","[0, 0, 0, 0, 0]",0
"[96.1966868681924, 90.98049280010272, 107.06781352887032, 90.30411827479678, 94.22132232353435]","[1, 1, 1, 1, 1]",1
"[53.49932441086032, 88.55308250016937, 102.59609969408884, 114.77930393812086, 133.01258890157467]","[1, 1, 1, 1, 1]",1
"[10.709161008436062, 37.60276010401162, 88.9139713545225, 101.3439308108812, 110.94524024575195]","[1, 1, 1, 1, 1]",0
"[36.178146317713654, 60.687520106257296, 81.89810299241199, 96.12656811710474, 90.38595451846473]","[0, 0, 0, 0, 0]",0
"[22.215992546724816, 46.85715113450069, 77.47423667292973, 90.21557626191691, 100.84832246827187]","[1, 1, 1, 1, 1]",1
"[78.70696592156123, 96.77599660198275, 95.52601580154129, 113.21588586380008, 125.59006076972264]","[0, 0, 0, 0, 0]",0
"[182.70968389920043, 185.0434080232685, 186.0138153961713, 186.23828355074593, 168.54474576265713]","[1, 1, 1, 1, 1]",0
"[197.16739381001787, 184.9781216700367, 191.77852007979158, 172.1734289636766, 188.8004459905353]","[0, 0, 0, 0, 0]",1
"[66.10857597737127, 89.53620204769192, 91.2998327565841, 98.70892793490658, 111.34204123627941]","[1, 1, 1, 1, 1]",0
"[32.20751414069103, 62.94090344878276, 89.48064752893202, 93.53853642184676, 112.75385933986084]","[1, 1, 1, 1, 1]",0
"[57.61216074128801, 83.68312409027864, 96.59257800869723, 91.98689417015586, 103.69162080696834]","[0, 0, 0, 0, 0]",0
"[75.48595945129163, 91.90973999487571, 90.53157038987798, 101.00665717332295, 117.14050713261997]","[0, 0, 0, 0, 0]",0
"[79.43606638659561, 94.84424740660833, 113.90967607895209, 119.11528111001162, 132.7617808958066]","[1, 1, 1, 1, 1]",1
"[65.95883518408718, 87.6605131895755, 96.57420904307683, 111.95652136370359, 111.20387777517682]","[0, 0, 0, 0, 0]",0
"[3.8218323417752664, 74.6619594612848, 90.98430179736467, 110.55777122986618, 129.98678711021628]","[0, 0, 0, 0, 0]",0
"[74.680717347337, 91.44359638675631, 108.37240623568704, 92.55521939162976, 100.93417673841971]","[1, 1, 1, 1, 1]",0
"[8.8829818158916, 72.4468922138442, 91.60609078722257, 90.85924595420475, 94.3577487627548]","[1, 1, 1, 1, 1]",1
"[179.79829276771923, 198.3559154623976, 178.49635790559492, 175.60415872616858, 161.62522411215596]","[0, 0, 0, 0, 0]",0
"[155.55122308934997, 172.2410317587308, 190.9497407603494, 198.45257021778403, 184.77616713835516]","[0, 0, 0, 0, 0]",1
"[121.52722483282747, 138.82562273974838, 157.87245305705127, 143.0804158331809, 126.07483597940369]","[1, 1, 1, 1, 1]",1
"[95.08304920638902, 94.6404049250111, 106.40009879312568, 124.944373361795, 111.45993234033057]","[1, 1, 1, 1, 1]",1
"[153.77947010866095, 142.44095548705167, 133.3992099299108, 151.72852699038793, 152.09927051658426]","[0, 0, 0, 0, 0]",0
"[171.73360574409008, 180.0830661656105, 190.30769584254804, 184.85394544922127, 173.8207106806917]","[1, 1, 1, 1, 1]",1
"[59.677240050714374, 85.76818470538782, 94.44120931592413, 94.46755215267358, 93.404989442138]","[1, 1, 1, 1, 1]",1
"[165.14447501728253, 156.25164849529682, 142.09842502226076, 160.10900594426383, 178.7866089805005]","[1, 1, 1, 1, 1]",1
"[88.94433964717503, 101.094243313094, 106.31604988625278, 95.23661257760605, 103.89083897818261]","[0, 0, 0, 0, 0]",0
"[134.2046001723001, 153.90198361974515, 150.14985536410688, 164.79111278318243, 158.8321830903115]","[0, 0, 0, 0, 0]",0
"[50.32489644065912, 71.06181911406267, 90.51525003172219, 95.75111430579734, 106.50174760909408]","[0, 0, 0, 0, 0]",0
